"full_name","constituency","party","profile_url","dail_term","dail_period","number_of_seats","term_number"
"Eamonn Rooney","Dublin County","Fine Gael","/en/members/member/Eamonn-Rooney.D.1948-02-18/","17th Dáil","(1961 - 1965)","144",17
"James Ryan","Wexford","Fianna Fáil","/en/members/member/James-Ryan.D.1919-01-21/","17th Dáil","(1961 - 1965)","144",17
"Richie Ryan","Dublin South-West","Fine Gael","/en/members/member/Richie-Ryan.D.1959-07-22/","17th Dáil","(1961 - 1965)","144",17
"Joseph M. Sheridan","Longford-Westmeath","Independent","/en/members/member/Joseph-M-Sheridan.S.1956-05-14/","17th Dáil","(1961 - 1965)","144",17
"Frank Sherwin","Dublin North-Central","Independent","/en/members/member/Frank-Sherwin.D.1957-11-14/","17th Dáil","(1961 - 1965)","144",17
"Patrick Smith","Cavan","Fianna Fáil","/en/members/member/Patrick-Smith.D.1923-09-19/","17th Dáil","(1961 - 1965)","144",17
"Daniel Spring","Kerry North","Labour Party","/en/members/member/Daniel-Spring.D.1943-07-01/","17th Dáil","(1961 - 1965)","144",17
"Gerard Sweetman","Kildare","Fine Gael","/en/members/member/Gerard-Sweetman.S.1943-09-08/","17th Dáil","(1961 - 1965)","144",17
"Patrick Tierney","Tipperary North","Labour Party","/en/members/member/Patrick-Tierney.S.1954-07-22/","17th Dáil","(1961 - 1965)","144",17
"Eugene Timmons","Dublin North-East","Fianna Fáil","/en/members/member/Eugene-Timmons.D.1961-10-11/","17th Dáil","(1961 - 1965)","144",17
"Seán Treacy","Tipperary South","Labour Party","/en/members/member/Seán-Treacy.D.1961-10-11/","17th Dáil","(1961 - 1965)","144",17
"James Tully","Meath","Labour Party","/en/members/member/James-Tully.D.1954-06-02/","17th Dáil","(1961 - 1965)","144",17
"Vivion de Valera","Dublin North-Central","Fianna Fáil","/en/members/member/Vivion-de-Valera.D.1945-12-04/","17th Dáil","(1961 - 1965)","144",17
"Donnchadh Ó Briain","Limerick West","Fianna Fáil","/en/members/member/Donnchadh-Ó-Briain.D.1933-02-08/","17th Dáil","(1961 - 1965)","144",17
"Seán Ó Ceallaigh","Clare","Fianna Fáil","/en/members/member/Seán-Ó-Ceallaigh.D.1959-07-22/","17th Dáil","(1961 - 1965)","144",17
"Frank Aiken","Louth","Fianna Fáil","/en/members/member/Frank-Aiken.D.1923-09-19/","18th Dáil","(1965 - 1969)","144",18
"Lorcan Allen","Wexford","Fianna Fáil","/en/members/member/Lorcan-Allen.D.1961-10-11/","18th Dáil","(1965 - 1969)","144",18
"David Andrews","Dún Laoghaire and Rathdown","Fianna Fáil","/en/members/member/David-Andrews.D.1965-04-21/","18th Dáil","(1965 - 1969)","144",18
"Stephen D. Barrett","Cork Borough","Fine Gael","/en/members/member/Stephen-D-Barrett.D.1954-03-03/","18th Dáil","(1965 - 1969)","144",18
"Sylvester Barrett","Clare","Fianna Fáil","/en/members/member/Sylvester-Barrett.D.1968-03-14/","18th Dáil","(1965 - 1969)","144",18
"Richard Barry","Cork North East","Fine Gael","/en/members/member/Richard-Barry.D.1953-06-18/","18th Dáil","(1965 - 1969)","144",18
"Luke Belton","Dublin North-Central","Fine Gael","/en/members/member/Luke-Belton.D.1965-04-21/","18th Dáil","(1965 - 1969)","144",18
"Patrick Belton","Dublin North-East","Fine Gael","/en/members/member/Patrick-Belton.D.1963-05-30/","18th Dáil","(1965 - 1969)","144",18
"Neil T.C. Blaney","Donegal North-East","Fianna Fáil","/en/members/member/Neil-TC-Blaney.D.1948-12-07/","18th Dáil","(1965 - 1969)","144",18
"Kevin Boland","Dublin County","Fianna Fáil","/en/members/member/Kevin-Boland.D.1957-03-20/","18th Dáil","(1965 - 1969)","144",18
"Lionel Booth","Dún Laoghaire and Rathdown","Fianna Fáil","/en/members/member/Lionel-Booth.D.1957-03-20/","18th Dáil","(1965 - 1969)","144",18
"Terence Boylan","Kildare","Fianna Fáil","/en/members/member/Terence-Boylan.D.1964-02-19/","18th Dáil","(1965 - 1969)","144",18
"Philip A. Brady","Dublin South-Central","Fianna Fáil","/en/members/member/Philip-A-Brady.D.1951-06-13/","18th Dáil","(1965 - 1969)","144",18
"Joseph Brennan","Donegal South-West","Fianna Fáil","/en/members/member/Joseph-Brennan.D.1951-06-13/","18th Dáil","(1965 - 1969)","144",18
"Patrick Brennan","Wicklow","Fianna Fáil","/en/members/member/Patrick-Brennan.D.1954-06-02/","18th Dáil","(1965 - 1969)","144",18
"Cormac Breslin","Donegal South-West","Fianna Fáil","/en/members/member/Cormac-Breslin.D.1937-07-21/","18th Dáil","(1965 - 1969)","144",18
"Ben Briscoe","Dublin South-West","Fianna Fáil","/en/members/member/Ben-Briscoe.D.1965-04-21/","18th Dáil","(1965 - 1969)","144",18
"Patrick Browne","Waterford","Fianna Fáil","/en/members/member/Patrick-Browne.D.1966-12-07/","18th Dáil","(1965 - 1969)","144",18
"Joan Burke","Roscommon","Fine Gael","/en/members/member/Joan-Burke.D.1964-07-08/","18th Dáil","(1965 - 1969)","144",18
"Patrick J. Burke","Dublin County","Fianna Fáil","/en/members/member/Patrick-J-Burke.D.1944-06-09/","18th Dáil","(1965 - 1969)","144",18
"Philip Burton","Cork North East","Fine Gael","/en/members/member/Philip-Burton.D.1961-10-11/","18th Dáil","(1965 - 1969)","144",18
"Henry Byrne","Laois-Offaly","Labour Party","/en/members/member/Henry-Byrne.D.1965-04-21/","18th Dáil","(1965 - 1969)","144",18
"Patrick Byrne","Dublin North-East","Fine Gael","/en/members/member/Patrick-Byrne.D.1956-04-30/","18th Dáil","(1965 - 1969)","144",18
"Phelim Alfred Calleary","Mayo North","Fianna Fáil","/en/members/member/Phelim-Alfred-Calleary.D.1952-06-26/","18th Dáil","(1965 - 1969)","144",18
"Frank Carter","Longford-Westmeath","Fianna Fáil","/en/members/member/Frank-Carter.D.1951-06-13/","18th Dáil","(1965 - 1969)","144",18
"Michael Carty","Galway East","Fianna Fáil","/en/members/member/Michael-Carty.D.1957-03-20/","18th Dáil","(1965 - 1969)","144",18
"Seán Casey","Cork Borough","Labour Party","/en/members/member/Seán-Casey.D.1954-06-02/","18th Dáil","(1965 - 1969)","144",18
"Erskine Hamilton Childers","Monaghan","Fianna Fáil","/en/members/member/Erskine-Hamilton-Childers.D.1938-06-30/","18th Dáil","(1965 - 1969)","144",18
"Mark A. Clinton","Dublin County","Fine Gael","/en/members/member/Mark-A-Clinton.D.1961-10-11/","18th Dáil","(1965 - 1969)","144",18
"Patrick Clohessy","Limerick East","Fianna Fáil","/en/members/member/Patrick-Clohessy.D.1957-03-20/","18th Dáil","(1965 - 1969)","144",18
"Frank Cluskey","Dublin South-Central","Labour Party","/en/members/member/Frank-Cluskey.D.1965-04-21/","18th Dáil","(1965 - 1969)","144",18
"George Colley","Dublin North-East","Fianna Fáil","/en/members/member/George-Colley.D.1961-10-11/","18th Dáil","(1965 - 1969)","144",18
"Gerard Collins","Limerick West","Fianna Fáil","/en/members/member/Gerard-Collins.D.1967-11-09/","18th Dáil","(1965 - 1969)","144",18
"James J. Collins","Limerick West","Fianna Fáil","/en/members/member/James-J-Collins.D.1948-02-18/","18th Dáil","(1965 - 1969)","144",18
"Seán Collins","Cork South-West","Fine Gael","/en/members/member/Seán-Collins.D.1948-02-18/","18th Dáil","(1965 - 1969)","144",18
"Patrick Connor","Kerry South","Fine Gael","/en/members/member/Patrick-Connor.S.1957-05-22/","18th Dáil","(1965 - 1969)","144",18
"Fintan Coogan","Galway West","Fine Gael","/en/members/member/Fintan-Coogan.D.1954-06-02/","18th Dáil","(1965 - 1969)","144",18
"Brendan Corish","Wexford","Labour Party","/en/members/member/Brendan-Corish.D.1945-12-04/","18th Dáil","(1965 - 1969)","144",18
"Martin John Corry","Cork North East","Fianna Fáil","/en/members/member/Martin-John-Corry.D.1927-06-23/","18th Dáil","(1965 - 1969)","144",18
"Liam Cosgrave","Dún Laoghaire and Rathdown","Fine Gael","/en/members/member/Liam-Cosgrave.D.1943-07-01/","18th Dáil","(1965 - 1969)","144",18
"Declan Costello","Dublin North-West","Fine Gael","/en/members/member/Declan-Costello.D.1951-06-13/","18th Dáil","(1965 - 1969)","144",18
"John Aloysius Costello","Dublin South-East","Fine Gael","/en/members/member/John-Aloysius-Costello.D.1933-02-08/","18th Dáil","(1965 - 1969)","144",18
"Edward Cotter","Cork South-West","Fianna Fáil","/en/members/member/Edward-Cotter.D.1954-06-02/","18th Dáil","(1965 - 1969)","144",18
"Stephen Coughlan","Limerick East","Labour Party","/en/members/member/Stephen-Coughlan.D.1961-10-11/","18th Dáil","(1965 - 1969)","144",18
"Donal Creed","Cork Mid","Fine Gael","/en/members/member/Donal-Creed.D.1965-04-21/","18th Dáil","(1965 - 1969)","144",18
"Brendan Crinion","Kildare","Fianna Fáil","/en/members/member/Brendan-Crinion.D.1961-10-11/","18th Dáil","(1965 - 1969)","144",18
"Jeremiah Cronin","Cork North East","Fianna Fáil","/en/members/member/Jeremiah-Cronin.D.1965-04-21/","18th Dáil","(1965 - 1969)","144",18
"Patrick J. Crotty","Carlow-Kilkenny","Fine Gael","/en/members/member/Patrick-J-Crotty.D.1948-02-18/","18th Dáil","(1965 - 1969)","144",18
"Florence Crowley","Cork Mid","Fianna Fáil","/en/members/member/Florence-Crowley.D.1965-04-21/","18th Dáil","(1965 - 1969)","144",18
"Honor Mary Crowley","Kerry South","Fianna Fáil","/en/members/member/Honor-Mary-Crowley.D.1945-12-04/","18th Dáil","(1965 - 1969)","144",18
"Liam Cunningham","Donegal North-East","Fianna Fáil","/en/members/member/Liam-Cunningham.D.1951-06-13/","18th Dáil","(1965 - 1969)","144",18
"Donal Davern","Tipperary South","Fianna Fáil","/en/members/member/Donal-Davern.D.1965-04-21/","18th Dáil","(1965 - 1969)","144",18
"Eileen Desmond","Cork Mid","Labour Party","/en/members/member/Eileen-Desmond.D.1965-03-10/","18th Dáil","(1965 - 1969)","144",18
"James Matthew Dillon","Monaghan","Fine Gael","/en/members/member/James-Matthew-Dillon.D.1932-03-09/","18th Dáil","(1965 - 1969)","144",18
"Henry Percy Dockrell","Dún Laoghaire and Rathdown","Fine Gael","/en/members/member/Henry-Percy-Dockrell.D.1951-06-13/","18th Dáil","(1965 - 1969)","144",18
"Maurice E. Dockrell","Dublin South-Central","Fine Gael","/en/members/member/Maurice-E-Dockrell.D.1943-07-01/","18th Dáil","(1965 - 1969)","144",18
"Patrick S. Donegan","Louth","Fine Gael","/en/members/member/Patrick-S-Donegan.D.1954-06-02/","18th Dáil","(1965 - 1969)","144",18
"John F. Donnellan","Galway East","Fine Gael","/en/members/member/John-F-Donnellan.D.1964-12-03/","18th Dáil","(1965 - 1969)","144",18
"Joseph Dowling","Dublin South-West","Fianna Fáil","/en/members/member/Joseph-Dowling.D.1965-04-21/","18th Dáil","(1965 - 1969)","144",18
"Seán Dunne","Dublin County","Labour Party","/en/members/member/Seán-Dunne.D.1948-02-18/","18th Dáil","(1965 - 1969)","144",18
"Thomas Dunne","Tipperary North","Fine Gael","/en/members/member/Thomas-Dunne.D.1961-10-11/","18th Dáil","(1965 - 1969)","144",18
"Nicholas Egan","Laois-Offaly","Fianna Fáil","/en/members/member/Nicholas-Egan.D.1954-06-02/","18th Dáil","(1965 - 1969)","144",18
"Anthony Charles Esmonde","Wexford","Fine Gael","/en/members/member/Anthony-Charles-Esmonde.D.1951-06-13/","18th Dáil","(1965 - 1969)","144",18
"James Everett","Wicklow","Labour Party","/en/members/member/James-Everett.D.1922-09-09/","18th Dáil","(1965 - 1969)","144",18
"John Fahey","Tipperary South","Fianna Fáil","/en/members/member/John-Fahey.D.1965-04-21/","18th Dáil","(1965 - 1969)","144",18
"John Fanning","Tipperary North","Fianna Fáil","/en/members/member/John-Fanning.D.1951-06-13/","18th Dáil","(1965 - 1969)","144",18
"Denis Farrelly","Meath","Fine Gael","/en/members/member/Denis-Farrelly.D.1961-10-11/","18th Dáil","(1965 - 1969)","144",18
"Padraig Faulkner","Louth","Fianna Fáil","/en/members/member/Padraig-Faulkner.D.1957-03-20/","18th Dáil","(1965 - 1969)","144",18
"Patrick Finucane","Kerry North","Independent","/en/members/member/Patrick-Finucane.D.1943-07-01/","18th Dáil","(1965 - 1969)","144",18
"Thomas J. Fitzpatrick","Cavan","Fine Gael","/en/members/member/Thomas-J-Fitzpatrick.S.1961-12-14/","18th Dáil","(1965 - 1969)","144",18
"Tom J. Fitzpatrick","Dublin South-Central","Fianna Fáil","/en/members/member/Tom-J-Fitzpatrick.D.1965-04-21/","18th Dáil","(1965 - 1969)","144",18
"Oliver J. Flanagan","Laois-Offaly","Fine Gael","/en/members/member/Oliver-J-Flanagan.D.1943-07-01/","18th Dáil","(1965 - 1969)","144",18
"Seán Flanagan","Mayo South","Fianna Fáil","/en/members/member/Seán-Flanagan.D.1951-06-13/","18th Dáil","(1965 - 1969)","144",18
"Desmond Foley","Dublin County","Fianna Fáil","/en/members/member/Desmond-Foley.D.1965-04-21/","18th Dáil","(1965 - 1969)","144",18
"Seán French","Cork Borough","Fianna Fáil","/en/members/member/Seán-French.D.1967-11-09/","18th Dáil","(1965 - 1969)","144",18
"James Gallagher","Sligo-Leitrim","Fianna Fáil","/en/members/member/James-Gallagher.D.1961-10-11/","18th Dáil","(1965 - 1969)","144",18
"John Geoghegan","Galway West","Fianna Fáil","/en/members/member/John-Geoghegan.D.1954-06-02/","18th Dáil","(1965 - 1969)","144",18
"Hugh Gibbons","Roscommon","Fianna Fáil","/en/members/member/Hugh-Gibbons.D.1965-04-21/","18th Dáil","(1965 - 1969)","144",18
"James M. Gibbons","Carlow-Kilkenny","Fianna Fáil","/en/members/member/James-M-Gibbons.D.1957-03-20/","18th Dáil","(1965 - 1969)","144",18
"Eugene Gilbride","Sligo-Leitrim","Fianna Fáil","/en/members/member/Eugene-Gilbride.D.1948-02-18/","18th Dáil","(1965 - 1969)","144",18
"Eugene Gilhawley","Sligo-Leitrim","Fine Gael","/en/members/member/Eugene-Gilhawley.D.1961-10-11/","18th Dáil","(1965 - 1969)","144",18
"Richard P. Gogan","Dublin North-West","Fianna Fáil","/en/members/member/Richard-P-Gogan.D.1954-06-02/","18th Dáil","(1965 - 1969)","144",18
"Desmond Governey","Carlow-Kilkenny","Fine Gael","/en/members/member/Desmond-Governey.D.1961-10-11/","18th Dáil","(1965 - 1969)","144",18
"Patrick D. Harte","Donegal North-East","Fine Gael","/en/members/member/Patrick-D-Harte.D.1961-10-11/","18th Dáil","(1965 - 1969)","144",18
"Charles J. Haughey","Dublin North-East","Fianna Fáil","/en/members/member/Charles-J-Haughey.D.1957-03-20/","18th Dáil","(1965 - 1969)","144",18
"Augustine Healy","Cork Borough","Fianna Fáil","/en/members/member/Augustine-Healy.D.1957-03-20/","18th Dáil","(1965 - 1969)","144",18
"Patrick John Hillery","Clare","Fianna Fáil","/en/members/member/Patrick-John-Hillery.D.1951-06-13/","18th Dáil","(1965 - 1969)","144",18
"Michael Hilliard","Meath","Fianna Fáil","/en/members/member/Michael-Hilliard.D.1943-07-01/","18th Dáil","(1965 - 1969)","144",18
"Patrick Hogan","Clare","Labour Party","/en/members/member/Patrick-Hogan.D.1923-09-19/","18th Dáil","(1965 - 1969)","144",18
"Patrick Hogan","Tipperary South","Fine Gael","/en/members/member/Patrick-Hogan.D.1961-10-11/","18th Dáil","(1965 - 1969)","144",18
"Brigid Hogan-O'Higgins","Galway East","Fine Gael","/en/members/member/Brigid-Hogan-O'Higgins.D.1957-03-20/","18th Dáil","(1965 - 1969)","144",18
"Denis F. Jones","Limerick West","Fine Gael","/en/members/member/Denis-F-Jones.D.1957-03-20/","18th Dáil","(1965 - 1969)","144",18
"Billy Kenneally","Waterford","Fianna Fáil","/en/members/member/Billy-Kenneally.D.1965-04-21/","18th Dáil","(1965 - 1969)","144",18
"James J. Kennedy","Wexford","Fianna Fáil","/en/members/member/James-J-Kennedy.D.1965-04-21/","18th Dáil","(1965 - 1969)","144",18
"Henry Kenny","Mayo South","Fine Gael","/en/members/member/Henry-Kenny.D.1954-06-02/","18th Dáil","(1965 - 1969)","144",18
"Michael F. Kitt","Galway East","Fianna Fáil","/en/members/member/Michael-F-Kitt.D.1948-02-18/","18th Dáil","(1965 - 1969)","144",18
"Thomas Anthony Kyne","Waterford","Labour Party","/en/members/member/Thomas-Anthony-Kyne.D.1948-02-18/","18th Dáil","(1965 - 1969)","144",18
"Gerald L'Estrange","Longford-Westmeath","Fine Gael","/en/members/member/Gerald-L'Estrange.S.1954-07-22/","18th Dáil","(1965 - 1969)","144",18
"Patrick J. Lalor","Laois-Offaly","Fianna Fáil","/en/members/member/Patrick-J-Lalor.D.1961-10-11/","18th Dáil","(1965 - 1969)","144",18
"Denis Larkin","Dublin North-East","Labour Party","/en/members/member/Denis-Larkin.D.1954-06-02/","18th Dáil","(1965 - 1969)","144",18
"Noel T. Lemass","Dublin South-West","Fianna Fáil","/en/members/member/Noel-T-Lemass.D.1956-11-14/","18th Dáil","(1965 - 1969)","144",18
"Seán F. Lemass","Dublin South-Central","Fianna Fáil","/en/members/member/Seán-F-Lemass.D.1924-11-18/","18th Dáil","(1965 - 1969)","144",18
"Patrick J. Lenihan","Longford-Westmeath","Fianna Fáil","/en/members/member/Patrick-J-Lenihan.D.1965-04-21/","18th Dáil","(1965 - 1969)","144",18
"Brian Lenihan Snr.","Roscommon","Fianna Fáil","/en/members/member/Brian-Lenihan-Snr.S.1957-05-22/","18th Dáil","(1965 - 1969)","144",18
"Patrick James Lindsay","Mayo North","Fine Gael","/en/members/member/Patrick-James-Lindsay.D.1954-06-02/","18th Dáil","(1965 - 1969)","144",18
"Celia Lynch","Dublin North-Central","Fianna Fáil","/en/members/member/Celia-Lynch.D.1954-06-02/","18th Dáil","(1965 - 1969)","144",18
"John Lynch","Cork Borough","Fianna Fáil","/en/members/member/John-Lynch.D.1948-02-18/","18th Dáil","(1965 - 1969)","144",18
"Thaddeus Lynch","Waterford","Fine Gael","/en/members/member/Thaddeus-Lynch.D.1954-06-02/","18th Dáil","(1965 - 1969)","144",18
"Michael D. Lyons","Mayo South","Fine Gael","/en/members/member/Michael-D-Lyons.D.1965-04-21/","18th Dáil","(1965 - 1969)","144",18
"Seán MacEntee","Dublin South-East","Fianna Fáil","/en/members/member/Seán-MacEntee.D.1919-01-21/","18th Dáil","(1965 - 1969)","144",18
"Patrick McAuliffe","Cork North East","Labour Party","/en/members/member/Patrick-McAuliffe.D.1944-06-09/","18th Dáil","(1965 - 1969)","144",18
"Thomas McEllistrim Snr.","Kerry North","Fianna Fáil","/en/members/member/Thomas-McEllistrim-Snr.D.1923-09-19/","18th Dáil","(1965 - 1969)","144",18
"Joseph McLoughlin","Sligo-Leitrim","Fine Gael","/en/members/member/Joseph-McLoughlin.D.1961-03-01/","18th Dáil","(1965 - 1969)","144",18
"Thomas J. V. Meaney","Cork Mid","Fianna Fáil","/en/members/member/Thomas-J-V-Meaney.D.1965-04-21/","18th Dáil","(1965 - 1969)","144",18
"Anthony G. Millar","Galway East","Fianna Fáil","/en/members/member/Anthony-G-Millar.D.1958-05-30/","18th Dáil","(1965 - 1969)","144",18
"Robert Molloy","Galway West","Fianna Fáil","/en/members/member/Robert-Molloy.D.1965-04-21/","18th Dáil","(1965 - 1969)","144",18
"Patrick Mooney","Monaghan","Fianna Fáil","/en/members/member/Patrick-Mooney.D.1954-06-02/","18th Dáil","(1965 - 1969)","144",18
"Seán Moore","Dublin South-East","Fianna Fáil","/en/members/member/Seán-Moore.D.1965-04-21/","18th Dáil","(1965 - 1969)","144",18
"Michael Moran","Mayo South","Fianna Fáil","/en/members/member/Michael-Moran.D.1938-06-30/","18th Dáil","(1965 - 1969)","144",18
"Michael Mullen","Dublin North-West","Labour Party","/en/members/member/Michael-Mullen.D.1961-10-11/","18th Dáil","(1965 - 1969)","144",18
"Michael Pat Murphy","Cork South-West","Labour Party","/en/members/member/Michael-Pat-Murphy.D.1951-06-13/","18th Dáil","(1965 - 1969)","144",18
"William Murphy","Clare","Fine Gael","/en/members/member/William-Murphy.D.1951-06-13/","18th Dáil","(1965 - 1969)","144",18
"Thomas Nolan","Carlow-Kilkenny","Fianna Fáil","/en/members/member/Thomas-Nolan.S.1961-12-14/","18th Dáil","(1965 - 1969)","144",18
"Patrick Norton","Kildare","Labour Party","/en/members/member/Patrick-Norton.D.1965-04-21/","18th Dáil","(1965 - 1969)","144",18
"John F. O'Connell","Dublin South-West","Labour Party","/en/members/member/John-F-O'Connell.D.1965-04-21/","18th Dáil","(1965 - 1969)","144",18
"Timothy O'Connor","Kerry South","Fianna Fáil","/en/members/member/Timothy-O'Connor.D.1961-10-11/","18th Dáil","(1965 - 1969)","144",18
"Patrick O'Donnell","Donegal South-West","Fine Gael","/en/members/member/Patrick-O'Donnell.D.1949-11-16/","18th Dáil","(1965 - 1969)","144",18
"Thomas G. O'Donnell","Limerick East","Fine Gael","/en/members/member/Thomas-G-O'Donnell.D.1961-10-11/","18th Dáil","(1965 - 1969)","144",18
"Thomas O'Hara","Mayo North","Fine Gael","/en/members/member/Thomas-O'Hara.D.1951-06-13/","18th Dáil","(1965 - 1969)","144",18
"Michael Joseph O'Higgins","Wicklow","Fine Gael","/en/members/member/Michael-Joseph-O'Higgins.D.1948-02-18/","18th Dáil","(1965 - 1969)","144",18
"Thomas F. O'Higgins Jnr.","Laois-Offaly","Fine Gael","/en/members/member/Thomas-F-O'Higgins-Jnr.D.1948-02-18/","18th Dáil","(1965 - 1969)","144",18
"John O'Leary","Kerry South","Fianna Fáil","/en/members/member/John-O'Leary.D.1966-12-07/","18th Dáil","(1965 - 1969)","144",18
"Michael O'Leary","Dublin North-Central","Labour Party","/en/members/member/Michael-O'Leary.D.1965-04-21/","18th Dáil","(1965 - 1969)","144",18
"Desmond J. O'Malley","Limerick East","Progressive Democrats","/en/members/member/Desmond-J-O'Malley.D.1968-05-22/","18th Dáil","(1965 - 1969)","144",18
"Donogh O'Malley","Limerick East","Fianna Fáil","/en/members/member/Donogh-O'Malley.D.1954-06-02/","18th Dáil","(1965 - 1969)","144",18
"Séamus Pattison","Carlow-Kilkenny","Labour Party","/en/members/member/Séamus-Pattison.D.1961-10-11/","18th Dáil","(1965 - 1969)","144",18
"Patrick J. Reynolds","Roscommon","Fine Gael","/en/members/member/Patrick-J-Reynolds.D.1961-10-11/","18th Dáil","(1965 - 1969)","144",18
"Richie Ryan","Dublin South-West","Fine Gael","/en/members/member/Richie-Ryan.D.1959-07-22/","18th Dáil","(1965 - 1969)","144",18
"Joseph M. Sheridan","Longford-Westmeath","Independent","/en/members/member/Joseph-M-Sheridan.S.1956-05-14/","18th Dáil","(1965 - 1969)","144",18
"Patrick Smith","Cavan","Fianna Fáil","/en/members/member/Patrick-Smith.D.1923-09-19/","18th Dáil","(1965 - 1969)","144",18
"Daniel Spring","Kerry North","Labour Party","/en/members/member/Daniel-Spring.D.1943-07-01/","18th Dáil","(1965 - 1969)","144",18
"Gerard Sweetman","Kildare","Fine Gael","/en/members/member/Gerard-Sweetman.S.1943-09-08/","18th Dáil","(1965 - 1969)","144",18
"Patrick Tierney","Tipperary North","Labour Party","/en/members/member/Patrick-Tierney.S.1954-07-22/","18th Dáil","(1965 - 1969)","144",18
"Godfrey Timmins","Wicklow","Fine Gael","/en/members/member/Godfrey-Timmins.D.1968-03-14/","18th Dáil","(1965 - 1969)","144",18
"Seán Treacy","Tipperary South","Labour Party","/en/members/member/Seán-Treacy.D.1961-10-11/","18th Dáil","(1965 - 1969)","144",18
"James Tully","Meath","Labour Party","/en/members/member/James-Tully.D.1954-06-02/","18th Dáil","(1965 - 1969)","144",18
"John Tully","Cavan","Clann na Poblachta","/en/members/member/John-Tully.D.1948-02-18/","18th Dáil","(1965 - 1969)","144",18
"Pearse Wyse","Cork Borough","Fianna Fáil","/en/members/member/Pearse-Wyse.D.1965-04-21/","18th Dáil","(1965 - 1969)","144",18
"Vivion de Valera","Dublin North-Central","Fianna Fáil","/en/members/member/Vivion-de-Valera.D.1945-12-04/","18th Dáil","(1965 - 1969)","144",18
"Donnchadh Ó Briain","Limerick West","Fianna Fáil","/en/members/member/Donnchadh-Ó-Briain.D.1933-02-08/","18th Dáil","(1965 - 1969)","144",18
"Seán Ó Ceallaigh","Clare","Fianna Fáil","/en/members/member/Seán-Ó-Ceallaigh.D.1959-07-22/","18th Dáil","(1965 - 1969)","144",18
"Frank Aiken","Louth","Fianna Fáil","/en/members/member/Frank-Aiken.D.1923-09-19/","19th Dáil","(1969 - 1973)","144",19
"Lorcan Allen","Wexford","Fianna Fáil","/en/members/member/Lorcan-Allen.D.1961-10-11/","19th Dáil","(1969 - 1973)","144",19
"David Andrews","Dún Laoghaire and Rathdown","Fianna Fáil","/en/members/member/David-Andrews.D.1965-04-21/","19th Dáil","(1969 - 1973)","144",19
"Sylvester Barrett","Clare","Fianna Fáil","/en/members/member/Sylvester-Barrett.D.1968-03-14/","19th Dáil","(1969 - 1973)","144",19
"Peter Barry","Cork City South-East","Fine Gael","/en/members/member/Peter-Barry.D.1969-07-02/","19th Dáil","(1969 - 1973)","144",19
"Richard Barry","Cork North East","Fine Gael","/en/members/member/Richard-Barry.D.1953-06-18/","19th Dáil","(1969 - 1973)","144",19
"Michael Begley","Kerry South","Fine Gael","/en/members/member/Michael-Begley.D.1969-07-02/","19th Dáil","(1969 - 1973)","144",19
"Luke Belton","Dublin North-Central","Fine Gael","/en/members/member/Luke-Belton.D.1965-04-21/","19th Dáil","(1969 - 1973)","144",19
"Patrick Belton","Dublin North-East","Fine Gael","/en/members/member/Patrick-Belton.D.1963-05-30/","19th Dáil","(1969 - 1973)","144",19
"Neil T.C. Blaney","Donegal North-East","Independent","/en/members/member/Neil-TC-Blaney.D.1948-12-07/","19th Dáil","(1969 - 1973)","144",19
"Kevin Boland","Dublin County South","Fianna Fáil","/en/members/member/Kevin-Boland.D.1957-03-20/","19th Dáil","(1969 - 1973)","144",19
"Terence Boylan","Kildare","Fianna Fáil","/en/members/member/Terence-Boylan.D.1964-02-19/","19th Dáil","(1969 - 1973)","144",19
"Philip A. Brady","Dublin South-Central","Fianna Fáil","/en/members/member/Philip-A-Brady.D.1951-06-13/","19th Dáil","(1969 - 1973)","144",19
"Joseph Brennan","Donegal-Leitrim","Fianna Fáil","/en/members/member/Joseph-Brennan.D.1951-06-13/","19th Dáil","(1969 - 1973)","144",19
"Patrick Brennan","Wicklow","Fianna Fáil","/en/members/member/Patrick-Brennan.D.1954-06-02/","19th Dáil","(1969 - 1973)","144",19
"Cormac Breslin","Donegal-Leitrim","Fianna Fáil","/en/members/member/Cormac-Breslin.D.1937-07-21/","19th Dáil","(1969 - 1973)","144",19
"Ben Briscoe","Dublin South-Central","Fianna Fáil","/en/members/member/Ben-Briscoe.D.1965-04-21/","19th Dáil","(1969 - 1973)","144",19
"Seán Brosnan","Cork North East","Fianna Fáil","/en/members/member/Seán-Brosnan.D.1969-07-02/","19th Dáil","(1969 - 1973)","144",19
"Noel C. Browne","Dublin South-East","Labour Party","/en/members/member/Noel-C-Browne.D.1948-02-18/","19th Dáil","(1969 - 1973)","144",19
"Patrick Browne","Waterford","Fianna Fáil","/en/members/member/Patrick-Browne.D.1966-12-07/","19th Dáil","(1969 - 1973)","144",19
"Seán Browne","Wexford","Fianna Fáil","/en/members/member/Seán-Browne.D.1957-03-20/","19th Dáil","(1969 - 1973)","144",19
"John Bruton","Meath","Fine Gael","/en/members/member/John-Bruton.D.1969-07-02/","19th Dáil","(1969 - 1973)","144",19
"Joan Burke","Roscommon-Leitrim","Fine Gael","/en/members/member/Joan-Burke.D.1964-07-08/","19th Dáil","(1969 - 1973)","144",19
"Liam Burke","Cork City North-West","Fine Gael","/en/members/member/Liam-Burke.D.1969-07-02/","19th Dáil","(1969 - 1973)","144",19
